DBSCAN(1),DBSCAN(1bis),DBSCAN(2),DBSCAN(2bis),DBSCAN(3)
24,15,5,12,17
25,46,17,37,58
29,81,24,79,81
32,89,25,180,93
51,131,32,259,126
87,153,46,372,136
93,158,59,402,143
113,162,87,414,162
128,185,113,425,174
149,190,114,,190
159,264,120,,266
165,272,136,,309
179,318,139,,316
182,321,166,,326
212,333,179,,351
241,341,229,,377
245,344,238,,403
258,356,245,,410
259,377,255,,424
298,385,258,,485
313,392,264,,
342,411,269,,
378,412,278,,
386,431,288,,
391,468,296,,
411,475,311,,
413,485,318,,
416,,325,,
423,,341,,
429,,359,,
452,,405,,
475,,411,,
484,,413,,
485,,416,,
,,418,,
,,423,,
,,425,,
,,434,,
,,436,,
,,437,,
,,438,,
,,452,,
,,463,,
,,469,,
,,472,,
,,475,,
,,497,,
