MeanShift(1),MeanShift(1bis),MeanShift(2),MeanShift(2bis),MeanShift(3)
16,7,16,7,2
70,34,18,24,8
83,69,34,31,10
88,71,38,40,11
107,83,69,46,21
150,88,70,50,59
161,108,88,51,71
276,142,275,57,85
286,161,286,73,100
426,275,327,77,109
488,279,355,81,118
,285,376,88,129
,327,394,89,147
,355,399,97,173
,394,406,115,194
,405,444,122,195
,441,481,125,205
,459,489,129,220
,,,138,230
,,,142,255
,,,143,264
,,,150,279
,,,158,281
,,,172,283
,,,186,288
,,,189,289
,,,197,290
,,,205,292
,,,222,295
,,,223,306
,,,224,319
,,,228,320
,,,263,327
,,,264,352
,,,276,355
,,,285,368
,,,290,382
,,,293,388
,,,294,399
,,,308,409
,,,314,436
,,,318,444
,,,320,446
,,,334,448
,,,335,453
,,,339,459
,,,342,460
,,,356,463
,,,357,475
,,,367,483
,,,374,488
,,,380,489
,,,392,
,,,403,
,,,432,
,,,436,
,,,443,
,,,445,
,,,446,
,,,453,
,,,455,
,,,456,
,,,461,
,,,463,
,,,467,
,,,473,
,,,487,
,,,490,
,,,493,
,,,499,
