0,0,0,0,0
1,1,1,1,1
2,2,2,2,2
3,3,3,3,3
4,4,4,4,4
5,5,5,5,5
6,6,6,6,6
7,7,8,7,7
8,8,9,8,8
9,9,10,9,9
10,10,11,10,10
11,11,12,11,11
12,12,13,12,12
13,13,14,13,13
14,14,16,14,14
15,15,17,15,15
16,16,18,16,16
17,17,19,17,17
18,18,20,18,18
19,19,21,19,19
20,20,22,20,20
21,21,23,21,21
22,22,24,22,22
23,23,25,23,23
24,24,26,24,24
25,25,27,25,25
26,26,28,26,26
27,27,29,27,27
28,28,30,28,28
29,29,31,29,29
30,30,32,30,30
31,31,33,31,31
32,32,34,32,32
33,33,35,33,33
34,34,36,34,34
35,35,37,35,35
36,36,38,36,36
37,37,39,37,37
38,38,40,38,38
39,39,41,39,39
40,40,42,40,40
41,41,43,41,41
42,42,44,42,42
43,43,45,43,43
44,44,46,44,44
45,45,47,45,45
46,46,48,46,46
47,47,49,47,47
48,48,50,48,48
49,49,51,49,49
50,50,52,50,50
51,51,53,51,51
52,52,54,52,52
53,53,55,53,53
54,54,56,54,54
55,55,57,55,55
56,56,58,56,56
57,57,59,57,57
58,58,60,58,58
59,59,61,59,59
60,60,63,60,60
61,61,64,61,61
63,63,65,63,63
64,64,66,64,64
65,65,67,65,65
66,66,68,66,66
67,67,69,67,67
68,68,70,68,68
69,69,71,69,69
70,70,72,70,70
71,71,73,71,71
72,72,74,72,72
73,73,75,73,73
74,74,76,74,74
75,75,77,75,75
76,76,78,76,76
77,77,79,77,77
78,78,80,78,78
79,79,81,79,79
80,80,82,80,80
81,81,83,81,81
82,82,84,82,82
83,83,85,83,83
84,84,86,84,84
85,85,87,85,85
86,86,88,86,86
87,87,89,87,87
88,88,90,88,88
89,89,91,89,89
90,90,92,90,90
91,91,93,91,91
92,92,94,92,92
93,93,95,93,93
94,94,96,94,94
95,95,97,95,95
96,96,98,96,96
97,97,99,97,97
98,98,100,98,98
99,99,101,99,99
100,100,102,100,100
101,101,103,101,101
102,102,104,102,102
103,103,105,103,103
104,104,106,104,104
105,105,107,105,105
106,106,108,106,106
107,107,109,107,107
108,108,110,108,108
109,109,111,109,109
110,110,112,110,110
111,111,113,111,111
112,112,114,112,112
113,113,115,113,113
114,114,116,114,114
115,115,117,115,115
116,116,118,116,116
117,117,119,117,117
118,118,120,118,118
119,119,121,119,119
120,120,122,120,120
121,121,123,121,121
122,122,124,122,122
123,123,125,123,123
124,124,126,124,124
125,125,127,125,125
126,126,,126,126
127,127,,127,127
