FR-R,FR-V
9.928571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,1.000000000000000000e+02
9.928571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
1.000000000000000000e+02,9.928571428571429180e+01
9.928571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.928571428571429180e+01
