correct,incorrect
4.285714285714285587e+00,2.857142857142857206e+00
9.285714285714286120e+01,9.000000000000000000e+01
1.142857142857142883e+01,0.000000000000000000e+00
1.285714285714285765e+01,1.428571428571428648e+01
9.571428571428570820e+01,8.857142857142856940e+01
8.285714285714286120e+01,6.857142857142856940e+01
3.285714285714285410e+01,2.857142857142857295e+01
1.571428571428571352e+01,1.285714285714285765e+01
9.142857142857143060e+01,1.000000000000000000e+02
4.714285714285714590e+01,3.714285714285714590e+01
8.571428571428571175e+00,1.571428571428571352e+01
3.000000000000000000e+01,5.000000000000000000e+01
8.000000000000000000e+01,7.142857142857143060e+01
8.714285714285713880e+01,7.857142857142856940e+01
8.000000000000000000e+01,7.857142857142856940e+01
5.142857142857143060e+01,6.142857142857143060e+01
4.142857142857143060e+01,5.000000000000000000e+01
9.142857142857143060e+01,8.000000000000000000e+01
1.000000000000000000e+01,2.000000000000000000e+01
9.571428571428570820e+01,8.285714285714286120e+01
8.571428571428570820e+01,7.142857142857143060e+01
6.428571428571429180e+01,6.142857142857143060e+01
2.142857142857142705e+01,5.571428571428571530e+01
7.000000000000000000e+01,7.857142857142856940e+01
8.571428571428570820e+01,8.000000000000000000e+01
6.571428571428570820e+01,6.857142857142856940e+01
7.285714285714286120e+01,7.142857142857143060e+01
9.714285714285713880e+01,8.571428571428570820e+01
8.428571428571429180e+01,6.428571428571429180e+01
8.857142857142856940e+01,9.714285714285713880e+01
9.714285714285713880e+01,8.428571428571429180e+01
9.142857142857143060e+01,8.285714285714286120e+01
6.285714285714285410e+01,5.285714285714285410e+01
8.714285714285713880e+01,6.285714285714285410e+01
2.142857142857142705e+01,5.714285714285714413e+00
